iter	Logloss
0	0.681370186
1	0.67073938
2	0.6606739159
3	0.6519707354
4	0.6438680689
5	0.6362707303
6	0.6296125222
7	0.623561132
8	0.6179100865
9	0.612846909
10	0.608043259
11	0.6036957477
12	0.5997386571
13	0.5961696398
14	0.5929392224
15	0.5900585487
16	0.5874508498
17	0.5849048681
18	0.5826184497
19	0.5805055947
20	0.5786621032
21	0.5768184315
22	0.5749949238
23	0.573479966
24	0.5720304908
25	0.5707387635
26	0.5695179808
27	0.5684487573
28	0.5673950721
29	0.5663950905
30	0.5655033146
31	0.5646451009
32	0.563814037
33	0.56316025
34	0.5624152915
35	0.5617727315
36	0.5610754568
37	0.5606104033
38	0.5600730217
39	0.5596478625
40	0.5591321329
41	0.5586075261
42	0.5582124713
43	0.5578007045
44	0.5574135955
45	0.5570543828
46	0.5566730841
47	0.5563468778
48	0.5561087754
49	0.5557736839
50	0.5554556272
51	0.5551420684
52	0.5548459066
53	0.5546796263
54	0.5543685966
55	0.5541327374
56	0.5539025168
57	0.5537016476
58	0.5534622448
59	0.5532411968
60	0.5530382358
61	0.55287407
62	0.5526865333
63	0.5524966475
64	0.5522861554
65	0.5521223077
66	0.551920538
67	0.5517900976
68	0.5516562496
69	0.551515088
70	0.5513621157
71	0.5512483108
72	0.551092029
73	0.5509667955
74	0.5508938051
75	0.5507847802
76	0.5506611019
77	0.5505478378
78	0.5504213493
79	0.5503097393
80	0.5501625527
81	0.5500701848
82	0.5499779047
83	0.5498638136
84	0.5497629369
85	0.5496710664
86	0.5495683778
87	0.5494756216
88	0.549362656
89	0.549266358
90	0.5491445174
91	0.5490382953
92	0.5489315883
93	0.5488397902
94	0.5487380764
95	0.5486694125
96	0.548614378
97	0.5485319255
98	0.5484400373
99	0.5483531557
100	0.5482380818
101	0.5481457499
102	0.5480316063
103	0.5479662913
104	0.5478585177
105	0.5477925017
106	0.547717599
107	0.5476629594
108	0.5476034198
109	0.5475004021
110	0.5474186003
111	0.5473331447
112	0.5472517244
113	0.5472093082
114	0.5471590617
115	0.5470776417
116	0.5470286353
117	0.5469443629
118	0.5468640373
119	0.5467725223
120	0.5467340367
121	0.5466703923
122	0.54659717
123	0.546540086
124	0.5464825098
125	0.5464261574
126	0.5463773771
