iter	Passed	Remaining
0	162	162322
1	183	91412
2	205	68221
3	229	57071
4	251	49962
5	274	45438
6	296	42070
7	323	40109
8	352	38804
9	375	37162
10	396	35649
11	418	34439
12	443	33676
13	464	32692
14	484	31833
15	506	31166
16	532	30806
17	555	30297
18	581	30013
19	604	29616
20	634	29558
21	662	29438
22	686	29158
23	708	28793
24	735	28697
25	756	28326
26	777	28007
27	801	27811
28	820	27481
29	849	27458
30	875	27356
31	901	27265
32	920	26985
33	941	26737
34	961	26521
35	983	26328
36	1006	26184
37	1025	25957
38	1050	25885
39	1080	25921
40	1101	25768
41	1125	25668
42	1146	25517
43	1168	25396
44	1188	25223
45	1211	25116
46	1234	25035
47	1259	24970
48	1284	24928
49	1304	24782
50	1322	24610
51	1345	24532
52	1372	24528
53	1395	24451
54	1417	24352
55	1440	24277
56	1464	24232
57	1482	24080
58	1506	24019
59	1531	23989
60	1556	23963
61	1586	24001
62	1607	23908
63	1629	23832
64	1649	23726
65	1680	23780
66	1702	23703
67	1729	23701
68	1746	23569
69	1767	23484
70	1788	23403
71	1811	23341
72	1832	23265
73	1852	23186
74	1876	23145
75	1902	23134
76	1924	23069
77	1946	23012
78	1968	22944
79	1988	22871
80	2013	22842
81	2035	22788
82	2058	22745
83	2078	22665
84	2098	22588
85	2118	22520
86	2143	22495
87	2165	22439
88	2190	22417
89	2211	22362
90	2239	22367
91	2259	22297
92	2282	22264
93	2308	22245
94	2329	22186
95	2351	22146
96	2375	22114
97	2398	22072
98	2422	22045
99	2445	22012
100	2469	21981
101	2491	21932
102	2514	21902
103	2540	21884
104	2567	21887
105	2590	21851
106	2611	21797
107	2635	21767
108	2656	21717
109	2678	21673
110	2701	21640
111	2723	21590
112	2745	21554
113	2768	21515
114	2790	21473
115	2809	21412
116	2829	21352
117	2856	21353
118	2878	21309
119	2904	21300
120	2925	21248
121	2950	21231
122	2975	21212
123	2995	21161
124	3020	21142
125	3041	21098
126	3067	21084
127	3088	21037
128	3109	20993
129	3132	20965
130	3155	20931
131	3176	20886
132	3197	20845
133	3225	20847
134	3250	20830
135	3273	20797
136	3293	20747
137	3313	20695
138	3335	20659
139	3358	20632
140	3379	20591
141	3402	20560
142	3426	20535
143	3450	20512
144	3474	20488
145	3497	20457
146	3519	20422
147	3551	20446
148	3582	20460
149	3613	20477
150	3641	20472
151	3666	20455
152	3694	20455
153	3722	20449
154	3748	20437
155	3780	20453
156	3806	20439
157	3828	20400
158	3851	20373
159	3872	20331
160	3898	20316
161	3923	20296
162	3944	20256
163	3970	20238
164	3993	20211
165	4015	20176
166	4037	20140
167	4060	20107
168	4084	20086
169	4104	20037
170	4133	20038
171	4165	20050
172	4190	20033
173	4215	20011
174	4245	20012
175	4267	19981
176	4294	19967
177	4316	19932
178	4346	19937
179	4370	19911
180	4396	19895
181	4432	19922
182	4458	19904
183	4478	19861
184	4506	19853
185	4534	19845
186	4557	19815
187	4577	19770
188	4597	19726
189	4620	19699
190	4643	19667
191	4669	19651
192	4690	19613
193	4709	19566
194	4738	19561
195	4766	19551
196	4793	19539
197	4820	19523
198	4843	19494
199	4867	19469
200	4894	19456
201	4921	19443
202	4948	19426
203	4972	19401
204	4994	19369
205	5018	19342
206	5038	19300
207	5059	19263
208	5076	19214
209	5099	19182
210	5121	19151
211	5142	19115
212	5176	19127
213	5199	19097
214	5221	19063
215	5243	19030
216	5264	18997
217	5288	18972
218	5313	18950
219	5332	18907
220	5356	18882
221	5380	18857
222	5406	18838
223	5425	18794
224	5446	18761
225	5471	18738
226	5496	18718
227	5521	18697
228	5543	18662
229	5564	18629
230	5591	18614
231	5614	18584
232	5635	18549
233	5657	18519
234	5679	18489
235	5699	18452
236	5724	18428
237	5746	18397
238	5772	18381
239	5794	18349
240	5820	18332
241	5841	18297
242	5867	18277
243	5890	18251
244	5915	18228
245	5939	18205
246	5964	18183
247	5985	18149
248	6006	18116
249	6031	18093
250	6053	18062
251	6080	18047
252	6106	18029
253	6133	18014
254	6159	17994
255	6180	17961
256	6203	17935
257	6230	17918
258	6250	17883
259	6269	17842
260	6288	17805
261	6315	17790
262	6337	17760
263	6363	17739
264	6384	17708
265	6406	17676
266	6430	17654
267	6450	17618
268	6485	17622
269	6509	17601
270	6530	17567
271	6558	17552
272	6578	17517
273	6599	17486
274	6624	17465
275	6645	17432
276	6675	17422
277	6696	17391
278	6726	17382
279	6752	17364
280	6784	17359
281	6809	17336
282	6832	17311
283	6857	17289
284	6881	17265
285	6902	17233
286	6932	17223
287	6959	17206
288	6985	17186
289	7020	17188
290	7047	17170
291	7069	17140
292	7090	17110
293	7113	17082
294	7139	17061
295	7160	17030
296	7185	17007
297	7211	16987
298	7240	16976
299	7263	16947
300	7284	16915
301	7309	16894
302	7330	16862
303	7352	16832
304	7373	16801
305	7400	16783
306	7427	16765
307	7445	16728
308	7468	16702
309	7491	16674
310	7515	16650
311	7535	16617
312	7555	16583
313	7575	16551
314	7602	16531
315	7620	16496
316	7642	16465
317	7664	16436
318	7685	16407
319	7705	16374
320	7733	16357
321	7755	16330
322	7779	16306
323	7804	16283
324	7829	16261
325	7856	16242
326	7881	16221
327	7901	16187
328	7929	16171
329	7952	16146
330	7974	16116
331	8000	16096
332	8025	16074
333	8048	16049
334	8075	16030
335	8109	16024
336	8141	16017
337	8187	16035
338	8225	16037
339	8265	16045
340	8327	16094
341	8356	16077
342	8453	16193
343	8588	16378
344	8652	16427
345	8769	16575
346	8790	16542
347	8809	16505
348	8828	16467
349	8847	16430
350	8866	16393
351	8900	16385
352	8932	16372
353	8968	16367
354	9034	16414
355	9083	16432
356	9130	16444
357	9181	16464
358	9250	16516
359	9321	16571
360	9360	16568
361	9410	16585
362	9448	16579
363	9492	16586
364	9517	16557
365	9545	16534
366	9571	16509
367	9596	16480
368	9625	16460
369	9653	16437
370	9682	16415
371	9717	16405
372	9755	16399
373	9794	16394
374	9833	16388
375	9862	16366
376	9896	16354
377	9917	16319
378	9950	16303
379	9985	16292
380	10023	16284
381	10063	16280
382	10095	16264
383	10128	16247
384	10158	16227
385	10193	16214
386	10218	16186
387	10249	16166
388	10274	16138
389	10301	16112
390	10322	16078
391	10347	16048
392	10375	16025
393	10405	16004
394	10443	15995
395	10474	15976
396	10510	15964
397	10541	15944
398	10573	15925
399	10606	15910
400	10638	15891
401	10671	15875
402	10710	15866
403	10738	15841
404	10769	15821
405	10789	15786
406	10814	15756
407	10841	15730
408	10865	15701
409	10891	15673
410	10926	15658
411	10955	15634
412	10979	15604
413	10999	15569
414	11025	15541
415	11053	15517
416	11078	15488
417	11106	15464
418	11130	15433
419	11154	15403
420	11181	15377
421	11208	15352
422	11236	15327
423	11267	15306
424	11292	15277
425	11314	15245
426	11340	15217
427	11369	15194
428	11393	15164
429	11414	15131
430	11442	15106
431	11471	15083
432	11499	15058
433	11526	15031
434	11545	14995
435	11575	14974
436	11597	14941
437	11624	14915
438	11646	14883
439	11668	14850
440	11696	14826
441	11719	14794
442	11747	14770
443	11774	14745
444	11796	14712
445	11824	14688
446	11847	14656
447	11871	14627
448	11896	14599
449	11918	14566
450	11945	14541
451	11965	14506
452	11991	14479
453	12018	14453
454	12046	14429
455	12083	14414
456	12110	14389
457	12138	14364
458	12161	14333
459	12180	14298
460	12206	14271
461	12232	14244
462	12255	14214
463	12277	14182
464	12301	14153
465	12321	14119
466	12344	14089
467	12369	14061
468	12393	14031
469	12418	14003
470	12450	13983
471	12470	13949
472	12495	13922
473	12529	13904
474	12552	13873
475	12573	13841
476	12596	13811
477	12622	13784
478	12652	13762
479	12674	13730
480	12702	13705
481	12725	13676
482	12752	13650
483	12772	13617
484	12802	13594
485	12827	13566
486	12855	13541
487	12878	13511
488	12903	13483
489	12922	13450
490	12951	13426
491	12972	13394
492	13003	13372
493	13023	13339
494	13053	13317
495	13075	13286
496	13103	13262
497	13131	13237
498	13153	13206
499	13194	13194
500	13220	13168
501	13242	13136
502	13270	13112
503	13292	13081
504	13318	13054
505	13340	13023
506	13368	12999
507	13388	12966
508	13414	12940
509	13438	12911
510	13471	12891
511	13492	12860
512	13531	12845
513	13564	12825
514	13599	12807
515	13627	12782
516	13656	12758
517	13690	12739
518	13721	12716
519	13750	12692
520	13768	12658
521	13797	12634
522	13820	12605
523	13851	12582
524	13871	12550
525	13898	12524
526	13919	12492
527	13943	12464
528	13967	12435
529	13994	12410
530	14018	12381
531	14046	12357
532	14067	12325
533	14086	12292
534	14114	12268
535	14137	12238
536	14164	12212
537	14197	12192
538	14229	12170
539	14254	12143
540	14280	12115
541	14311	12093
542	14340	12069
543	14371	12046
544	14405	12026
545	14428	11997
546	14455	11971
547	14477	11941
548	14505	11915
549	14535	11893
550	14561	11865
551	14587	11839
552	14612	11811
553	14641	11787
554	14667	11760
555	14694	11734
556	14714	11703
557	14748	11682
558	14778	11658
559	14799	11627
560	14823	11599
561	14846	11570
562	14874	11545
563	14895	11514
